doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.6446816,EFFECT OF RESECTION OF ONE CM OF POSTERIOR END OF THE RIB DURING THORACOTOMY ON POSTOPERATIVE PAIN,2022-04-11,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/6446816,
10.5281/zenodo.6454520,НІМЕЦЬКІ МУДРОСЛОВИ ПРО ЖІНКУ,2022-04-08,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/6454520,
10.5281/zenodo.6421146,C0PEP0D projet - Data Management Plan,2022-04-07,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/6421146,
10.5281/zenodo.6417354,Coverage of open citations in DOAJ journals,2022-04-06,No funder metadata,,,,,,unknown,,Fri Mar 04,Sat Mar 04,,True,False,2,0,0,0,unknown,False,public,https://zenodo.org/records/6417354,https://zenodo.org/api/records/6417354/files/DMPNone0.json/content
10.5281/zenodo.6411449,La Chouffe DMP New,2022-04-04,No funder metadata,,,,,,unknown,,,,,True,False,3,0,0,0,unknown,False,public,https://zenodo.org/records/6411449,https://zenodo.org/api/records/6411449/files/DMPnone0.json/content
10.5281/zenodo.6411382,La Chouffe DMP,2022-04-04,No funder metadata,,,,,,unknown,,,,,True,False,3,0,0,0,unknown,False,public,https://zenodo.org/records/6411382,https://zenodo.org/api/records/6411382/files/DMPnone0.json/content
10.5281/zenodo.6407114,DATA MANAGEMENT PLAN - INITIAL VERSION,2022-04-01,Horizon 2020,H2020,893629,AGATHOCLES,H2020-MSCA-IF-2019,humanities,early,0.166,2021-10-01,2024-09-30,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6407114,
10.5281/zenodo.6405761,D7.4 Data Management Plan,2022-04-01,Horizon 2020,H2020,101000751,MATS,H2020-RUR-2018-2020,agricultural sciences,early,0.214,2021-07-01,2024-12-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6405761,
10.5281/zenodo.13777381,Data Management Plan for CityCLIM Project created in OpenAire,2022-03-31,Horizon 2020,H2020,101036814,CityCLIM,H2020-LC-GD-2020,engineering and technology,early,0.165,2021-10-01,2024-09-30,CLOSED,True,False,12,0,0,0,unknown,False,public,https://zenodo.org/records/13777381,https://zenodo.org/api/records/13777381/files/DMPResearch_and_Innovation_Actions_RIA0.json/content
10.5281/zenodo.7945237,Data Management Plan – preliminary (M6),2022-03-31,Horizon 2020,H2020,101036814,CityCLIM,H2020-LC-GD-2020,engineering and technology,early,0.165,2021-10-01,2024-09-30,CLOSED,False,,,,0,0,,True,public,https://zenodo.org/records/7945237,
